system.number,seqid,system,target.name,hmm.accession,hmm.name,protein.name,full.seq.E.value,domain.iE.value,target.coverage,hmm.coverage,start,end,strand,target.description,relative.position,contig.end,all.domains,best.hits
1,1,PDC-S04,1_28,PDLC04838,PDC-S04_WP_169250289.1,PDC-S04,7.299999999999999e-75,8.099999999999999e-75,0.975,0.943,21069,21671,-,-,28,368,"PDLC04839,PDC-S04_WP_034227615.1, 1, 3.4e-30, 0.876, 0.893 | PDLC04838,PDC-S04_WP_169250289.1, 1, 8.1e-75, 0.975, 0.943 | PDLC04842,PDC-S04_WP_163235784.1, 1, 6.3e-19, 0.692, 0.634 | PDLC04841,PDC-S04_WP_121941008.1, 1, 4.6e-13, 0.682, 0.432","PDLC04838, PDC-S04_WP_169250289.1, 8.1e-75, 0.975, 0.943 | PDLC04839, PDC-S04_WP_034227615.1, 3.4e-30, 0.876, 0.893 | PDLC04842, PDC-S04_WP_163235784.1, 6.3e-19, 0.692, 0.634 | PDLC04841, PDC-S04_WP_121941008.1, 4.6e-13, 0.682, 0.432"
2,1,PDC-S05,1_304,PDLC04852,PDC-S05_WP_110807286.1,PDC-S05,3.199999999999999e-168,3.499999999999999e-168,0.98,0.968,331632,332660,+,-,304,368,"PDLC04875,PDC-S05_WP_187536628.1, 1, 2e-09, 0.163, 0.455 | PDLC04875,PDC-S05_WP_187536628.1, 2, 520, 0.061, 0.171 | PDLC04875,PDC-S05_WP_187536628.1, 3, 6.5, 0.131, 0.366 | PDLC04883,PDC-S05_WP_220413105.1, 1, 2.3e-30, 0.227, 0.897 | PDLC04868,PDC-S05_WP_205747975.1, 1, 1.3e-118, 0.898, 0.931 | PDLC04852,PDC-S05_WP_110807286.1, 1, 3.5e-168, 0.98, 0.968 | PDLC04877,PDC-S05_WP_126307469.1, 1, 5e-17, 0.216, 0.902 | PDLC04877,PDC-S05_WP_126307469.1, 2, 2600, 0.026, 0.11 | PDLC04860,PDC-S05_WP_055170183.1, 1, 2.6e-24, 0.265, 0.645 | PDLC04860,PDC-S05_WP_055170183.1, 2, 94, 0.143, 0.355 | PDLC04874,PDC-S05_WP_205904899.1, 1, 1.5e-44, 0.353, 0.721 | PDLC04864,PDC-S05_WP_222427554.1, 1, 1.2e-124, 0.79, 0.971 | PDLC04848,PDC-S05_WP_138764285.1, 1, 1.3e-24, 0.35, 0.423 | PDLC04861,PDC-S05_WP_205729986.1, 1, 1.5e-27, 0.216, 0.892 | PDLC04861,PDC-S05_WP_205729986.1, 2, 1300, 0.026, 0.108 | PDLC04870,PDC-S05_WP_135110477.1, 1, 2.4e-84, 0.606, 0.958 | PDLC04847,PDC-S05_WP_224134658.1, 1, 2e-15, 0.195, 0.644 | PDLC04847,PDC-S05_WP_224134658.1, 2, 650, 0.102, 0.327 | PDLC04859,PDC-S05_WP_215891945.1, 1, 3.8e-16, 0.213, 0.695 | PDLC04859,PDC-S05_WP_215891945.1, 2, 730, 0.055, 0.181 | PDLC04851,PDC-S05_WP_020395932.1, 1, 5.5e-133, 0.959, 0.965 | PDLC04850,PDC-S05_WP_191092432.1, 1, 1.3e-07, 0.157, 0.628 | PDLC04850,PDC-S05_WP_191092432.1, 2, 1400, 0.032, 0.128 | PDLC04843,PDC-S05_WP_181573034.1, 1, 1.2e-119, 0.915, 0.93 | PDLC04844,PDC-S05_WP_008569830.1, 1, 1.2e-10, 0.195, 0.432 | PDLC04844,PDC-S05_WP_008569830.1, 2, 130, 0.055, 0.123 | PDLC04880,PDC-S05_WP_050949286.1, 1, 9.4e-07, 0.143, 0.891 | PDLC04880,PDC-S05_WP_050949286.1, 2, 710, 0.029, 0.182 | PDLC04884,PDC-S05_WP_026981758.1, 1, 1.3e-25, 0.216, 0.871 | PDLC04884,PDC-S05_WP_026981758.1, 2, 1100, 0.029, 0.118 | PDLC04857,PDC-S05_WP_200872712.1, 1, 3.5e-12, 0.236, 0.432 | PDLC04871,PDC-S05_WP_231564492.1, 1, 5.7e-103, 0.913, 0.677 | PDLC04855,PDC-S05_WP_179358254.1, 1, 1.6e-12, 0.172, 0.695 | PDLC04865,PDC-S05_WP_206196814.1, 1, 4.2e-21, 0.222, 0.835 | PDLC04853,PDC-S05_WP_228444512.1, 1, 3e-137, 0.945, 0.958 | PDLC04872,PDC-S05_WP_106707341.1, 1, 1.4e-43, 0.359, 0.829 | PDLC04872,PDC-S05_WP_106707341.1, 2, 270, 0.085, 0.191 | PDLC04858,PDC-S05_WP_065233724.1, 1, 3.1e-48, 0.362, 0.899 | PDLC04858,PDC-S05_WP_065233724.1, 2, 550, 0.073, 0.181 | PDLC04854,PDC-S05_WP_190995815.1, 1, 3.4e-43, 0.359, 0.594 | PDLC04854,PDC-S05_WP_190995815.1, 2, 490, 0, 0 | PDLC04885,PDC-S05_WP_002697025.1, 1, 1.2e-25, 0.268, 0.864 | PDLC04885,PDC-S05_WP_002697025.1, 2, 330, 0.067, 0.2 | PDLC04879,PDC-S05_WP_091962608.1, 1, 3.1e-39, 0.344, 0.418 | PDLC04879,PDC-S05_WP_091962608.1, 2, 290, 0.067, 0.081 | PDLC04876,PDC-S05_WP_205197604.1, 1, 1.3e-71, 0.481, 0.948 | PDLC04881,PDC-S05_WP_108603569.1, 1, 1.2e-20, 0.21, 0.878 | PDLC04846,PDC-S05_WP_093514383.1, 1, 0.047, 0.155, 0.776 | PDLC04867,PDC-S05_WP_204355478.1, 1, 2.1e-18, 0.204, 0.753 | PDLC04867,PDC-S05_WP_204355478.1, 2, 610, 0.035, 0.151 | PDLC04845,PDC-S05_WP_210384770.1, 1, 8.3e-19, 0.35, 0.654 | PDLC04845,PDC-S05_WP_210384770.1, 2, 0.22, 0.07, 0.126 | PDLC04873,PDC-S05_WP_017455060.1, 1, 1.3e-39, 0.321, 0.948 | PDLC04873,PDC-S05_WP_017455060.1, 2, 260, 0.017, 0.052","PDLC04852, PDC-S05_WP_110807286.1, 3.5e-168, 0.98, 0.968 | PDLC04853, PDC-S05_WP_228444512.1, 3e-137, 0.945, 0.958 | PDLC04851, PDC-S05_WP_020395932.1, 5.5e-133, 0.959, 0.965 | PDLC04864, PDC-S05_WP_222427554.1, 1.2e-124, 0.79, 0.971 | PDLC04843, PDC-S05_WP_181573034.1, 1.2e-119, 0.915, 0.93"
3,12,RM_type_III,12_44,PDLC03649,REase_III_00003,REase_III,0,0,0.99,0.776,46279,48684,-,-,44,148,"PDLC03647,REase_III_00001, 1, 1.2e-05, 0.117, 0.077 | PDLC03647,REase_III_00001, 2, 3.2e-41, 0.746, 0.593 | PDLC03650,REase_III_00004, 1, 7.2, 0.045, 0.039 | PDLC03650,REase_III_00004, 2, 0.036, 0.062, 0.056 | PDLC03649,REase_III_00003, 1, 0, 0.99, 0.776 | PDLC03648,REase_III_00002, 1, 1.1e-05, 0.049, 0.045 | PDLC03648,REase_III_00002, 2, 120, 0.086, 0.075 | PDLC03653,REase_III_00007, 1, 34, 0.046, 0.041 | PDLC03653,REase_III_00007, 2, 0.022, 0.056, 0.051 | PDLC03653,REase_III_00007, 3, 330, 0.056, 0.05","PDLC03649, REase_III_00003, 0, 0.99, 0.776 | PDLC03647, REase_III_00001, 3.2e-41, 0.746, 0.593 | PDLC03648, REase_III_00002, 1.1e-05, 0.049, 0.045 | PDLC03653, REase_III_00007, 0.022, 0.056, 0.051 | PDLC03650, REase_III_00004, 0.036, 0.062, 0.056"
3,12,RM_type_III,12_46,PDLC03641,MTase_III_00010,MTase_III,0,0,0.997,0.998,49260,51218,-,-,46,148,"PDLC03639,MTase_III_00008, 1, 6.8e-24, 0.323, 0.293 | PDLC03639,MTase_III_00008, 2, 1.7e-20, 0.159, 0.155 | PDLC03642,MTase_III_00011, 1, 6.7e-58, 0.588, 0.672 | PDLC03640,MTase_III_00009, 1, 1.5e-34, 0.27, 0.274 | PDLC03640,MTase_III_00009, 2, 8.5e-29, 0.214, 0.232 | PDLC03637,MTase_III_00006, 1, 5.2e-85, 0.709, 0.877 | PDLC03633,MTase_III_00002, 1, 9.2e-16, 0.277, 0.287 | PDLC03633,MTase_III_00002, 2, 0.00081, 0.058, 0.062 | PDLC03632,MTase_III_00001, 1, 3e-09, 0.239, 0.159 | PDLC03632,MTase_III_00001, 2, 16, 0.061, 0.041 | PDLC03636,MTase_III_00005, 1, 3.5e-11, 0.086, 0.097 | PDLC03636,MTase_III_00005, 2, 7.5e-25, 0.165, 0.188 | PDLC03636,MTase_III_00005, 3, 3.4e-15, 0.11, 0.13 | PDLC03636,MTase_III_00005, 4, 980, 0.081, 0.085 | PDLC03644,MTase_III_00013, 1, 1.3e-83, 0.588, 0.71 | PDLC03646,MTase_III_00015, 1, 1.1e-08, 0.08, 0.049 | PDLC03646,MTase_III_00015, 2, 1.1e-10, 0.127, 0.077 | PDLC03646,MTase_III_00015, 3, 1.1e-14, 0.221, 0.139 | PDLC03634,MTase_III_00003, 1, 3e-143, 0.75, 0.792 | PDLC03645,MTase_III_00014, 1, 5.6e-10, 0.19, 0.145 | PDLC03645,MTase_III_00014, 2, 3.6e-11, 0.116, 0.111 | PDLC03641,MTase_III_00010, 1, 0, 0.997, 0.998 | PDLC03638,MTase_III_00007, 1, 3e-05, 0.067, 0.055 | PDLC03638,MTase_III_00007, 2, 4e-31, 0.375, 0.273 | PDLC03635,MTase_III_00004, 1, 2.3e-13, 0.084, 0.078 | PDLC03635,MTase_III_00004, 2, 1.5e-21, 0.15, 0.141 | PDLC03635,MTase_III_00004, 3, 6e-08, 0.119, 0.103 | PDLC03643,MTase_III_00012, 1, 4.7e-69, 0.711, 0.998","PDLC03641, MTase_III_00010, 0, 0.997, 0.998 | PDLC03634, MTase_III_00003, 3e-143, 0.75, 0.792 | PDLC03637, MTase_III_00006, 5.2e-85, 0.709, 0.877 | PDLC03644, MTase_III_00013, 1.3e-83, 0.588, 0.71 | PDLC03643, MTase_III_00012, 4.7e-69, 0.711, 0.998"
4,17,3HP,17_127,PDLC03004,Hp1,Hp1,1.1999999999999999e-66,1.4999999999999998e-66,0.915,0.913,122300,123364,+,-,127,145,"PDLC03004,Hp1, 1, 1.5e-66, 0.915, 0.913","PDLC03004, Hp1, 1.5e-66, 0.915, 0.913"
4,17,3HP,17_128,PDLC03005,Hp2,Hp2,7.499999999999999e-40,9.2e-40,0.98,0.961,123361,124425,+,-,128,145,"PDLC03005,Hp2, 1, 9.2e-40, 0.98, 0.961","PDLC03005, Hp2, 9.2e-40, 0.98, 0.961"
4,17,3HP,17_129,PDLC03006,Hp3,Hp3,9.2e-10,1.1e-9,0.638,0.652,124445,125140,+,-,129,145,"PDLC03006,Hp3, 1, 1.1e-09, 0.638, 0.652","PDLC03006, Hp3, 1.1e-09, 0.638, 0.652"
5,19,PDC-M03,19_17,PDLC04347,PDC-M03B_WP_156391106.1,PDC-M03B,3.2999999999999993e-93,3.699999999999999e-93,0.984,0.98,10246,10986,-,-,17,116,"PDLC04352,PDC-M03B_WP_159721333.1, 1, 1.1e-37, 0.947, 0.944 | PDLC04348,PDC-M03B_WP_214099834.1, 1, 3.7e-67, 0.931, 0.935 | PDLC04346,PDC-M03B_WP_170319402.1, 1, 2.6e-47, 0.789, 0.76 | PDLC04347,PDC-M03B_WP_156391106.1, 1, 3.7e-93, 0.984, 0.98 | PDLC04349,PDC-M03B_WP_127064912.1, 1, 4.6e-33, 0.866, 0.922 | PDLC04350,PDC-M03B_WP_211959721.1, 1, 9.4e-24, 0.842, 0.736","PDLC04347, PDC-M03B_WP_156391106.1, 3.7e-93, 0.984, 0.98 | PDLC04348, PDC-M03B_WP_214099834.1, 3.7e-67, 0.931, 0.935 | PDLC04346, PDC-M03B_WP_170319402.1, 2.6e-47, 0.789, 0.76 | PDLC04352, PDC-M03B_WP_159721333.1, 1.1e-37, 0.947, 0.944 | PDLC04349, PDC-M03B_WP_127064912.1, 4.6e-33, 0.866, 0.922"
5,19,PDC-M03,19_18,PDLC04344,PDC-M03A_WP_148311240.1,PDC-M03A,5.799999999999998e-121,6.499999999999999e-121,0.99,0.97,10983,11897,-,-,18,116,"PDLC04344,PDC-M03A_WP_148311240.1, 1, 6.5e-121, 0.99, 0.97 | PDLC04337,PDC-M03A_WP_211959720.1, 1, 8.2e-41, 0.774, 0.956 | PDLC04339,PDC-M03A_WP_143482249.1, 1, 1.6e-12, 0.259, 0.27 | PDLC04339,PDC-M03A_WP_143482249.1, 2, 1.2e-15, 0.505, 0.519 | PDLC04343,PDC-M03A_WP_212367596.1, 1, 1e-44, 0.928, 0.741 | PDLC04341,PDC-M03A_WP_089725102.1, 1, 1.1e-39, 0.698, 0.711 | PDLC04340,PDC-M03A_WP_027723948.1, 1, 1.7e-40, 0.951, 0.929 | PDLC04342,PDC-M03A_WP_095795207.1, 1, 3.8e-70, 0.951, 0.933 | PDLC04345,PDC-M03A_WP_170195461.1, 1, 2.9e-54, 0.954, 0.95 | PDLC04338,PDC-M03A_WP_186572779.1, 1, 1.6e-43, 0.987, 0.706","PDLC04344, PDC-M03A_WP_148311240.1, 6.5e-121, 0.99, 0.97 | PDLC04342, PDC-M03A_WP_095795207.1, 3.8e-70, 0.951, 0.933 | PDLC04345, PDC-M03A_WP_170195461.1, 2.9e-54, 0.954, 0.95 | PDLC04343, PDC-M03A_WP_212367596.1, 1e-44, 0.928, 0.741 | PDLC04338, PDC-M03A_WP_186572779.1, 1.6e-43, 0.987, 0.706"
7,2,RM_type_III,2_147,PDLC03647,REase_III_00001,REase_III,0,0,0.996,0.994,151474,154434,-,-,147,371,"PDLC03647,REase_III_00001, 1, 0, 0.996, 0.994 | PDLC03650,REase_III_00004, 1, 100, 0.063, 0.066 | PDLC03650,REase_III_00004, 2, 2.6e-06, 0.049, 0.053 | PDLC03649,REase_III_00003, 1, 7.9e-87, 0.744, 0.717 | PDLC03649,REase_III_00003, 2, 6.3e-09, 0.116, 0.121 | PDLC03651,REase_III_00005, 1, 0.2, 0.041, 0.046 | PDLC03651,REase_III_00005, 2, 0.017, 0.035, 0.04 | PDLC03648,REase_III_00002, 1, 6.7e-09, 0.127, 0.132 | PDLC03648,REase_III_00002, 2, 3.9, 0.075, 0.083 | PDLC03653,REase_III_00007, 1, 78, 0.057, 0.067 | PDLC03653,REase_III_00007, 2, 5.6, 0.05, 0.054 | PDLC03653,REase_III_00007, 3, 0.00025, 0.057, 0.063","PDLC03647, REase_III_00001, 0, 0.996, 0.994 | PDLC03649, REase_III_00003, 7.9e-87, 0.744, 0.717 | PDLC03648, REase_III_00002, 6.7e-09, 0.127, 0.132 | PDLC03650, REase_III_00004, 2.6e-06, 0.049, 0.053 | PDLC03653, REase_III_00007, 0.00025, 0.057, 0.063"
